Episode Number,Episode Name,Originally Aired
1929 x 1,Bosko the Talk-Ink Kid,1929-05-01
1930 x 1,Sinkin' in the Bathtub,1930-04-19
1930 x 2,Congo Jazz,1930-09-01
1930 x 3,Hold Anything,1930-10-01
1930 x 4,The Booze Hangs High,1930-11-01
1930 x 5,Box Car Blues,1930-12-01
1931 x 1,Big Man from the North,1931-01-01
1931 x 2,Ain't Nature Grand,1931-02-01
1931 x 3,Ups 'n Downs,1931-03-01
1931 x 4,Dumb Patrol,1931-04-01
1931 x 5,Yodeling Yokels,1931-05-01
1931 x 6,Bosko's Holiday,1931-06-01
1931 x 7,The Tree's Knees,1931-07-01
1931 x 8,"Lady, Play Your Mandolin!",1931-08-01
1931 x 9,"Smile, Darn Ya, Smile!",1931-09-05
1931 x 10,Bosko Shipwrecked!,1931-09-19
1931 x 11,One More Time,1931-10-03
1931 x 12,Bosko the Doughboy,1931-10-17
1931 x 13,You Don't Know What You're Doin'!,1931-10-31
1931 x 14,Bosko's Soda Fountain,1931-11-14
1931 x 15,Hittin' the Trail for Hallelujah Land,1931-11-28
1931 x 16,Bosko's Fox Hunt,1931-12-12
1931 x 17,Red-Headed Baby,1931-12-26
1932 x 1,Bosko at the Zoo,1932-01-09
1932 x 2,Pagan Moon,1932-01-23
1932 x 3,Battling Bosko,1932-02-06
1932 x 4,Freddy the Freshman,1932-02-20
1932 x 5,Big-Hearted Bosko,1932-03-05
1932 x 6,"Crosby, Columbo, and Vallee",1932-03-19
1932 x 7,Bosko's Party,1932-04-02
1932 x 8,Goopy Geer,1932-04-16
1932 x 9,Bosko and Bruno,1932-04-30
1932 x 10,It's Got Me Again!,1932-05-14
1932 x 11,Bosko and Honey,1932-05-30
1932 x 12,Moonlight for Two,1932-06-11
1932 x 13,Bosko's Dog Race,1932-06-25
1932 x 14,The Queen was in the Parlor,1932-07-09
1932 x 15,Bosko at the Beach,1932-07-23
1932 x 16,I Love a Parade,1932-08-06
1932 x 17,Bosko's Store,1932-08-13
1932 x 18,Bosko the Lumberjack,1932-09-03
1932 x 19,You're Too Careless with Your Kisses!,1932-09-10
1932 x 20,"Ride Him, Bosko!",1932-09-17
1932 x 21,I Wish I Had Wings,1932-10-15
1932 x 22,Bosko the Drawback,1932-10-22
1932 x 23,A Great Big Bunch of You,1932-11-12
1932 x 24,Bosko's Dizzy Date,1932-11-19
1932 x 25,Three's a Crowd,1932-12-10
1932 x 26,Bosko's Woodland Daze,1932-12-17
1933 x 1,The Shanty Where Santy Claus Lives,1933-01-07
1933 x 2,Bosko in Dutch,1933-01-14
1933 x 3,One Step Ahead of My Shadow,1933-02-04
1933 x 4,Bosko in Person,1933-02-11
1933 x 5,Young and Healthy,1933-03-04
1933 x 6,Bosko the Speed King,1933-03-22
1933 x 7,The Organ Grinder,1933-04-08
1933 x 8,Wake Up the Gypsy in Me,1933-05-13
1933 x 9,Bosko's Knight-Mare,1933-06-08
1933 x 10,I Like Mountain Music,1933-06-13
1933 x 11,Bosko the Sheep-Herder,1933-06-14
1933 x 12,Beau Bosko,1933-07-01
1933 x 13,Shuffle Off to Buffalo,1933-07-08
1933 x 14,The Dish Ran Away with the Spoon,1933-08-05
1933 x 15,We're in the Money,1933-08-26
1933 x 16,Bosko's Picture Show,1933-08-26
1933 x 17,Buddy's Day Out,1933-09-09
1933 x 18,Bosko the Musketeer,1933-09-16
1933 x 19,I've Got to Sing a Torch Song,1933-09-23
1933 x 20,Bosko's Mechanical Man,1933-09-27
1933 x 21,Buddy's Beer Garden,1933-11-11
1933 x 22,Buddy's Show Boat,1933-12-09
1933 x 23,Sittin' on a Backyard Fence,1933-12-16
1934 x 1,Buddy the Gob,1934-01-13
1934 x 2,Pettin' in the Park,1934-01-27
1934 x 3,Honeymoon Hotel,1934-02-17
1934 x 4,Buddy and Towser,1934-02-24
1934 x 5,Buddy's Garage,1934-04-14
1934 x 6,Beauty and the Beast,1934-04-14
1934 x 7,Those Were Wonderful Days,1934-04-26
1934 x 8,Buddy's Trolley Troubles,1934-05-05
1934 x 9,Goin' to Heaven on a Mule,1934-05-19
1934 x 10,Buddy of the Apes,1934-05-26
1934 x 11,How Do I Know It's Sunday,1934-06-09
1934 x 12,Buddy's Bearcats,1934-06-23
1934 x 13,Why Do I Dream Those Dreams,1934-06-30
1934 x 14,The Girl at the Ironing Board,1934-08-23
1934 x 15,The Miller's Daughter,1934-10-13
1934 x 16,Shake Your Powder Puff,1934-10-17
1934 x 17,Buddy the Detective,1934-10-17
1934 x 18,Rhythm in the Bow,1934-10-20
1934 x 19,Buddy the Woodsman,1934-10-20
1934 x 20,Buddy's Circus,1934-11-08
1934 x 21,Those Beautiful Dames,1934-11-10
1934 x 22,Buddy's Adventures,1934-11-17
1934 x 23,Pop Goes Your Heart,1934-12-08
1934 x 24,Viva Buddy,1934-12-12
1934 x 25,Buddy the Dentist,1934-12-15
1935 x 1,Mr. and Mrs. Is the Name,1935-01-19
1935 x 2,Country Boy,1935-02-09
1935 x 3,Buddy's Theatre,1935-02-16
1935 x 4,I Haven't Got a Hat,1935-03-09
1935 x 5,Buddy's Pony Express,1935-03-09
1935 x 6,Buddy of the Legion,1935-04-06
1935 x 7,Along Flirtation Walk,1935-04-06
1935 x 8,My Green Fedora,1935-05-04
1935 x 9,Buddy's Lost World,1935-05-18
1935 x 10,Into Your Dance,1935-06-08
1935 x 11,Buddy's Bug Hunt,1935-06-22
1935 x 12,Buddy in Africa,1935-07-06
1935 x 13,Country Mouse,1935-07-13
1935 x 14,Buddy Steps Out,1935-07-20
1935 x 15,The Merry Old Soul,1935-08-17
1935 x 16,Buddy the Gee Man,1935-08-24
1935 x 17,The Lady in Red,1935-09-07
1935 x 18,A Cartoonist's Nightmare,1935-09-21
1935 x 19,Little Dutch Plate,1935-10-19
1935 x 20,Hollywood Capers,1935-10-19
1935 x 21,Gold Diggers of '49,1935-11-02
1935 x 22,Billboard Frolics,1935-11-09
1935 x 23,Flowers for Madame,1935-11-20
1936 x 1,I Wanna Play House,1936-01-11
1936 x 2,The Phantom Ship,1936-02-01
1936 x 3,The Cat Came Back,1936-02-08
1936 x 4,Boom Boom,1936-02-29
1936 x 5,Page Miss Glory,1936-03-07
1936 x 6,Alpine Antics,1936-03-09
1936 x 7,The Fire Alarm,1936-03-09
1936 x 8,The Blow Out,1936-04-04
